day_period;currency_code;currency_name;currency_rate;source
2021-01-03;RUB;RUB;0.0134157528;ECB
2021-01-03;SEK;SEK;0.1222905434;ECB
2021-01-03;SGD;SGD;0.7566284375;ECB
2021-01-03;THB;THB;0.0334113867;ECB
2021-01-03;TRY;TRY;0.1346523137;ECB
2021-01-03;UGX;Ugandan Shilling;0.000273958428;XE
2021-01-03;USD;USD;1.0;ECB
2021-01-03;UST;USDT;1.0;CUST
2021-01-03;VND;Vietnamese Dong;0.000043073597;XE
2021-01-03;XBT;Bitcoin;33216.632232091251;XE
2021-01-03;ZAR;ZAR;0.0680893801;ECB
2021-01-04;AUD;AUD;0.7719738825;ECB
2021-01-04;BGN;BGN;0.6286941405;ECB
2021-01-04;BRL;BRL;0.1944308281;ECB
2021-01-04;CAD;CAD;0.7871455093;ECB
2021-01-04;CHF;CHF;1.1373600962;ECB
2021-01-04;CNY;CNY;0.1546978008;ECB
2021-01-04;CZK;CZK;0.0470372212;ECB
2021-01-04;DKK;DKK;0.1653154788;ECB
2021-01-04;EUR;EUR;1.2296;ECB
2021-01-04;GBP;GBP;1.363797693;ECB
2021-01-04;HKD;HKD;0.1289835309;ECB
2021-01-04;HRK;HRK;0.1627208364;ECB
2021-01-04;HUF;HUF;0.0034030776;ECB
2021-01-04;IDR;IDR;0.0000720638;ECB
2021-01-04;ILS;ILS;0.3118437738;ECB
2021-01-04;INR;INR;0.0136943278;ECB
2021-01-04;ISK;ISK;0.0078770019;ECB
2021-01-04;JPY;JPY;0.0097109461;ECB
2021-01-04;KRW;KRW;0.0009231023;ECB
2021-01-04;LAK;Lao Kip;0.000107691517;XE
2021-01-04;MXN;MXN;0.0505943686;ECB
2021-01-04;MYR;MYR;0.249594024;ECB
2021-01-04;NGN;Nigerian Naira;0.002532773251;XE
2021-01-04;NOK;NOK;0.1177326695;ECB
2021-01-04;NZD;NZD;0.7205391151;ECB
2021-01-04;PHP;PHP;0.0208202106;ECB
2021-01-04;PLN;PLN;0.2703903244;ECB
2021-01-04;RON;RON;0.2524172192;ECB
2021-01-04;RUB;RUB;0.0136105023;ECB
2021-01-04;SEK;SEK;0.12186927;ECB
2021-01-04;SGD;SGD;0.7591060625;ECB
2021-01-04;THB;THB;0.033478545;ECB
2021-01-04;TRY;TRY;0.1357489043;ECB
2021-01-04;UGX;Ugandan Shilling;0.000271842579;XE
2021-01-04;USD;USD;1.0;ECB
2021-01-04;UST;USDT;1.0;CUST
2021-01-04;VND;Vietnamese Dong;0.000043246949;XE
2021-01-04;XBT;Bitcoin;31437.149279303354;XE
2021-01-04;ZAR;ZAR;0.0686107112;ECB
2021-01-05;AUD;AUD;0.7704526904;ECB
2021-01-05;BGN;BGN;0.6274158912;ECB
2021-01-05;BRL;BRL;0.1872949006;ECB
2021-01-05;CAD;CAD;0.7840393585;ECB
2021-01-05;CHF;CHF;1.1358881792;ECB
2021-01-05;CNY;CNY;0.1547122234;ECB
2021-01-05;CZK;CZK;0.0467876616;ECB
2021-01-05;DKK;DKK;0.1649616196;ECB
2021-01-05;EUR;EUR;1.2271;ECB
2021-01-05;GBP;GBP;1.3584182967;ECB
2021-01-05;HKD;HKD;0.1289837706;ECB
2021-01-05;HRK;HRK;0.1623405832;ECB
2021-01-05;HUF;HUF;0.0034060566;ECB
2021-01-05;IDR;IDR;0.0000718649;ECB
2021-01-05;ILS;ILS;0.3124220282;ECB
2021-01-05;INR;INR;0.0136546229;ECB
2021-01-05;ISK;ISK;0.0078609865;ECB
2021-01-05;JPY;JPY;0.009719604;ECB
2021-01-05;KRW;KRW;0.0009185912;ECB
2021-01-05;LAK;Lao Kip;0.000107527378;XE
2021-01-05;MXN;MXN;0.0499105182;ECB
2021-01-05;MYR;MYR;0.2489400118;ECB
2021-01-05;NGN;Nigerian Naira;0.002535443268;XE
2021-01-05;NOK;NOK;0.1171869777;ECB
2021-01-05;NZD;NZD;0.7202981921;ECB
2021-01-05;PHP;PHP;0.0207912572;ECB
2021-01-05;PLN;PLN;0.2698524399;ECB
2021-01-05;RON;RON;0.2518626465;ECB
2021-01-05;RUB;RUB;0.0133858397;ECB
2021-01-05;SEK;SEK;0.1220145173;ECB
2021-01-05;SGD;SGD;0.7584054388;ECB
2021-01-05;THB;THB;0.0333668697;ECB
2021-01-05;TRY;TRY;0.1353011225;ECB
2021-01-05;UGX;Ugandan Shilling;0.000270888911;XE
2021-01-05;USD;USD;1.0;ECB
2021-01-05;UST;USDT;1.0;CUST
2021-01-05;VND;Vietnamese Dong;0.00004322096;XE
2021-01-05;XBT;Bitcoin;32373.460237297462;XE
2021-01-05;ZAR;ZAR;0.0666199768;ECB
2021-01-06;AUD;AUD;0.7797017189;ECB
2021-01-06;BGN;BGN;0.6308415993;ECB
2021-01-06;BRL;BRL;0.1894685115;ECB
2021-01-06;CAD;CAD;0.7888746803;ECB
2021-01-06;CHF;CHF;1.1401903706;ECB
2021-01-06;CNY;CNY;0.1548968652;ECB
2021-01-06;CZK;CZK;0.0471906674;ECB
2021-01-06;DKK;DKK;0.1658489374;ECB
2021-01-06;EUR;EUR;1.2338;ECB
2021-01-06;GBP;GBP;1.3612842721;ECB
2021-01-06;HKD;HKD;0.1289789774;ECB
2021-01-06;HRK;HRK;0.1632118526;ECB
2021-01-06;HUF;HUF;0.003447717;ECB
2021-01-06;IDR;IDR;0.0000718654;ECB
2021-01-06;ILS;ILS;0.3140319173;ECB
2021-01-06;INR;INR;0.0136778857;ECB
2021-01-06;ISK;ISK;0.007893794;ECB
2021-01-06;JPY;JPY;0.0097126663;ECB
2021-01-06;KRW;KRW;0.0009212275;ECB
2021-01-06;LAK;Lao Kip;0.000107649729;XE
2021-01-06;MXN;MXN;0.0506604583;ECB
2021-01-06;MYR;MYR;0.2493431955;ECB
2021-01-06;NGN;Nigerian Naira;0.002625006307;XE
2021-01-06;NOK;NOK;0.1188517484;ECB
2021-01-06;NZD;NZD;0.7293686451;ECB
2021-01-06;PHP;PHP;0.0208074744;ECB
2021-01-06;PLN;PLN;0.2732063773;ECB
2021-01-06;RON;RON;0.2532430213;ECB
2021-01-06;RUB;RUB;0.0135854874;ECB
2021-01-06;SEK;SEK;0.1225795555;ECB
2021-01-06;SGD;SGD;0.7594484796;ECB
2021-01-06;THB;THB;0.0334172964;ECB
2021-01-06;TRY;TRY;0.1362501933;ECB
2021-01-06;UGX;Ugandan Shilling;0.000270229559;XE
2021-01-06;USD;USD;1.0;ECB
2021-01-06;UST;USDT;1.0;CUST
2021-01-06;VND;Vietnamese Dong;0.000043243065;XE
2021-01-06;XBT;Bitcoin;34699.330302925155;XE
2021-01-06;ZAR;ZAR;0.0666475803;ECB
2021-01-07;AUD;AUD;0.7751957565;ECB
2021-01-07;BGN;BGN;0.6276715411;ECB
2021-01-07;BRL;BRL;0.1883631007;ECB
2021-01-07;CAD;CAD;0.7868726364;ECB
2021-01-07;CHF;CHF;1.1332040986;ECB
2021-01-07;CNY;CNY;0.1546251511;ECB
2021-01-07;CZK;CZK;0.0469499369;ECB
2021-01-07;DKK;DKK;0.1650177438;ECB
2021-01-07;EUR;EUR;1.2276;ECB
2021-01-07;GBP;GBP;1.3611265107;ECB
2021-01-07;HKD;HKD;0.1289820963;ECB
2021-01-07;HRK;HRK;0.1622521808;ECB
2021-01-07;HUF;HUF;0.0034310629;ECB
2021-01-07;IDR;IDR;0.000071124;ECB
2021-01-07;ILS;ILS;0.3145514644;ECB
2021-01-07;INR;INR;0.0136331077;ECB
2021-01-07;ISK;ISK;0.0079047006;ECB
2021-01-07;JPY;JPY;0.0096562574;ECB
2021-01-07;KRW;KRW;0.0009145565;ECB
2021-01-07;LAK;Lao Kip;0.000107650732;XE
2021-01-07;MXN;MXN;0.0506118276;ECB
2021-01-07;MYR;MYR;0.2476497882;ECB
2021-01-07;NGN;Nigerian Naira;0.002625095635;XE
2021-01-07;NOK;NOK;0.118683231;ECB
2021-01-07;NZD;NZD;0.7260897853;ECB
2021-01-07;PHP;PHP;0.0207916264;ECB
2021-01-07;PLN;PLN;0.272812125;ECB
2021-01-07;RON;RON;0.2520118246;ECB
2021-01-07;RUB;RUB;0.0134605263;ECB
2021-01-07;SEK;SEK;0.1220581655;ECB
2021-01-07;SGD;SGD;0.7553067126;ECB
2021-01-07;THB;THB;0.0333052986;ECB
2021-01-07;TRY;TRY;0.1364197051;ECB
2021-01-07;UGX;Ugandan Shilling;0.000270320672;XE
2021-01-07;USD;USD;1.0;ECB
2021-01-07;UST;USDT;1.0;CUST
2021-01-07;VND;Vietnamese Dong;0.000043168272;XE
2021-01-07;XBT;Bitcoin;39092.124500598111;XE
2021-01-07;ZAR;ZAR;0.0653260181;ECB
2021-01-08;AUD;AUD;0.7773829166;ECB
2021-01-08;BGN;BGN;0.6263421618;ECB
2021-01-08;BRL;BRL;0.1863174545;ECB
2021-01-08;CAD;CAD;0.7881361385;ECB
2021-01-08;CHF;CHF;1.1314306826;ECB
2021-01-08;CNY;CNY;0.1547029703;ECB
2021-01-08;CZK;CZK;0.0468218476;ECB
2021-01-08;DKK;DKK;0.1647191706;ECB
2021-01-08;EUR;EUR;1.225;ECB
2021-01-08;GBP;GBP;1.3591780579;ECB
2021-01-08;HKD;HKD;0.1289718052;ECB
2021-01-08;HRK;HRK;0.1618443652;ECB
2021-01-08;HUF;HUF;0.0034063734;ECB
2021-01-08;IDR;IDR;0.0000710255;ECB
2021-01-08;ILS;ILS;0.314255663;ECB
2021-01-08;INR;INR;0.0136418052;ECB
2021-01-08;ISK;ISK;0.0078778135;ECB
2021-01-08;JPY;JPY;0.0096259626;ECB
2021-01-08;KRW;KRW;0.000915614;ECB
2021-01-08;LAK;Lao Kip;0.000107608948;XE
2021-01-08;MXN;MXN;0.0500576173;ECB
2021-01-08;MYR;MYR;0.2481816893;ECB
2021-01-08;NGN;Nigerian Naira;0.002618278635;XE
2021-01-08;NOK;NOK;0.1190904407;ECB
2021-01-08;NZD;NZD;0.7255819463;ECB
2021-01-08;PHP;PHP;0.0207813799;ECB
2021-01-08;PLN;PLN;0.2715403542;ECB
2021-01-08;RON;RON;0.2514987271;ECB
2021-01-08;RUB;RUB;0.0134911894;ECB
2021-01-08;SEK;SEK;0.1218784201;ECB
2021-01-08;SGD;SGD;0.7548681292;ECB
2021-01-08;THB;THB;0.0332446809;ECB
2021-01-08;TRY;TRY;0.1358906663;ECB
2021-01-08;UGX;Ugandan Shilling;0.000270639713;XE
2021-01-08;USD;USD;1.0;ECB
2021-01-08;UST;USDT;1.0;CUST
2021-01-08;VND;Vietnamese Dong;0.000043284982;XE
2021-01-08;XBT;Bitcoin;41200.075808139489;XE
2021-01-08;ZAR;ZAR;0.0654338397;ECB
2021-01-09;AUD;AUD;0.7773829166;ECB
2021-01-09;BGN;BGN;0.6263421618;ECB
2021-01-09;BRL;BRL;0.1863174545;ECB
2021-01-09;CAD;CAD;0.7881361385;ECB
2021-01-09;CHF;CHF;1.1314306826;ECB
2021-01-09;CNY;CNY;0.1547029703;ECB
2021-01-09;CZK;CZK;0.0468218476;ECB
2021-01-09;DKK;DKK;0.1647191706;ECB
2021-01-09;EUR;EUR;1.225;ECB
2021-01-09;GBP;GBP;1.3591780579;ECB
2021-01-09;HKD;HKD;0.1289718052;ECB
2021-01-09;HRK;HRK;0.1618443652;ECB
2021-01-09;HUF;HUF;0.0034063734;ECB
2021-01-09;IDR;IDR;0.0000710255;ECB
2021-01-09;ILS;ILS;0.314255663;ECB
2021-01-09;INR;INR;0.0136418052;ECB
2021-01-09;ISK;ISK;0.0078778135;ECB
2021-01-09;JPY;JPY;0.0096259626;ECB
2021-01-09;KRW;KRW;0.000915614;ECB
2021-01-09;LAK;Lao Kip;0.000107259333;XE
2021-01-09;MXN;MXN;0.0500576173;ECB
2021-01-09;MYR;MYR;0.2481816893;ECB
2021-01-09;NGN;Nigerian Naira;0.002620439059;XE
2021-01-09;NOK;NOK;0.1190904407;ECB
2021-01-09;NZD;NZD;0.7255819463;ECB
2021-01-09;PHP;PHP;0.0207813799;ECB
2021-01-09;PLN;PLN;0.2715403542;ECB
2021-01-09;RON;RON;0.2514987271;ECB
2021-01-09;RUB;RUB;0.0134911894;ECB
2021-01-09;SEK;SEK;0.1218784201;ECB
2021-01-09;SGD;SGD;0.7548681292;ECB
2021-01-09;THB;THB;0.0332446809;ECB
2021-01-09;TRY;TRY;0.1358906663;ECB
2021-01-09;UGX;Ugandan Shilling;0.000270388491;XE
2021-01-09;USD;USD;1.0;ECB
2021-01-09;UST;USDT;1.0;CUST
2021-01-09;VND;Vietnamese Dong;0.000043086599;XE
2021-01-09;XBT;Bitcoin;40388.048368726726;XE
2021-01-09;ZAR;ZAR;0.0654338397;ECB
2021-01-10;AUD;AUD;0.7773829166;ECB
2021-01-10;BGN;BGN;0.6263421618;ECB
2021-01-10;BRL;BRL;0.1863174545;ECB
2021-01-10;CAD;CAD;0.7881361385;ECB
2021-01-10;CHF;CHF;1.1314306826;ECB
2021-01-10;CNY;CNY;0.1547029703;ECB
2021-01-10;CZK;CZK;0.0468218476;ECB
2021-01-10;DKK;DKK;0.1647191706;ECB
2021-01-10;EUR;EUR;1.225;ECB
2021-01-10;GBP;GBP;1.3591780579;ECB
2021-01-10;HKD;HKD;0.1289718052;ECB
2021-01-10;HRK;HRK;0.1618443652;ECB
2021-01-10;HUF;HUF;0.0034063734;ECB
2021-01-10;IDR;IDR;0.0000710255;ECB
2021-01-10;ILS;ILS;0.314255663;ECB
2021-01-10;INR;INR;0.0136418052;ECB
2021-01-10;ISK;ISK;0.0078778135;ECB
2021-01-10;JPY;JPY;0.0096259626;ECB
2021-01-10;KRW;KRW;0.000915614;ECB
2021-01-10;LAK;Lao Kip;0.000107258081;XE
2021-01-10;MXN;MXN;0.0500576173;ECB
2021-01-10;MYR;MYR;0.2481816893;ECB
2021-01-10;NGN;Nigerian Naira;0.00262087101;XE
2021-01-10;NOK;NOK;0.1190904407;ECB
2021-01-10;NZD;NZD;0.7255819463;ECB
2021-01-10;PHP;PHP;0.0207813799;ECB
2021-01-10;PLN;PLN;0.2715403542;ECB
2021-01-10;RON;RON;0.2514987271;ECB
2021-01-10;RUB;RUB;0.0134911894;ECB
2021-01-10;SEK;SEK;0.1218784201;ECB
2021-01-10;SGD;SGD;0.7548681292;ECB
2021-01-10;THB;THB;0.0332446809;ECB
2021-01-10;TRY;TRY;0.1358906663;ECB
2021-01-10;UGX;Ugandan Shilling;0.000270350438;XE
2021-01-10;USD;USD;1.0;ECB
2021-01-10;UST;USDT;1.0;CUST
2021-01-10;VND;Vietnamese Dong;0.000043064259;XE
2021-01-10;XBT;Bitcoin;39570.580065133174;XE
2021-01-10;ZAR;ZAR;0.0654338397;ECB
2021-01-11;AUD;AUD;0.7706392954;ECB
2021-01-11;BGN;BGN;0.6218938542;ECB
2021-01-11;BRL;BRL;0.1827318891;ECB
2021-01-11;CAD;CAD;0.782136197;ECB
2021-01-11;CHF;CHF;1.1222550286;ECB
2021-01-11;CNY;CNY;0.15434104;ECB
2021-01-11;CZK;CZK;0.0463546629;ECB
2021-01-11;DKK;DKK;0.1635427311;ECB
2021-01-11;EUR;EUR;1.2163;ECB
2021-01-11;GBP;GBP;1.3479248629;ECB
2021-01-11;HKD;HKD;0.128940952;ECB
2021-01-11;HRK;HRK;0.1604617414;ECB
2021-01-11;HUF;HUF;0.0033720543;ECB
2021-01-11;IDR;IDR;0.0000704402;ECB
2021-01-11;ILS;ILS;0.3144844348;ECB
2021-01-11;INR;INR;0.0136133683;ECB
2021-01-11;ISK;ISK;0.0077422024;ECB
2021-01-11;JPY;JPY;0.0095952982;ECB
2021-01-11;KRW;KRW;0.0009105678;ECB
2021-01-11;LAK;Lao Kip;0.00010747238;XE
2021-01-11;MXN;MXN;0.0495839805;ECB
2021-01-11;MYR;MYR;0.2467940914;ECB
2021-01-11;NGN;Nigerian Naira;0.002523360459;XE
2021-01-11;NOK;NOK;0.1173128858;ECB
2021-01-11;NZD;NZD;0.7189384088;ECB
2021-01-11;PHP;PHP;0.0207964299;ECB
2021-01-11;PLN;PLN;0.2685344637;ECB
2021-01-11;RON;RON;0.249727954;ECB
2021-01-11;RUB;RUB;0.0133942681;ECB
2021-01-11;SEK;SEK;0.1207125844;ECB
2021-01-11;SGD;SGD;0.7517305315;ECB
2021-01-11;THB;THB;0.0331787556;ECB
2021-01-11;TRY;TRY;0.1343235781;ECB
2021-01-11;UGX;Ugandan Shilling;0.00027026676;XE
2021-01-11;USD;USD;1.0;ECB
2021-01-11;UST;USDT;1.0;CUST
2021-01-11;VND;Vietnamese Dong;0.000043329045;XE
2021-01-11;XBT;Bitcoin;32356.595568440673;XE
2021-01-11;ZAR;ZAR;0.0646696335;ECB
2021-01-12;AUD;AUD;0.7725193749;ECB
2021-01-12;BGN;BGN;0.6217915942;ECB
2021-01-12;BRL;BRL;0.1826195339;ECB
2021-01-12;CAD;CAD;0.7840747905;ECB
2021-01-12;CHF;CHF;1.1247687754;ECB
2021-01-12;CNY;CNY;0.154767359;ECB
2021-01-12;CZK;CZK;0.0464337533;ECB
2021-01-12;DKK;DKK;0.1634872622;ECB
2021-01-12;EUR;EUR;1.2161;ECB
2021-01-12;GBP;GBP;1.3596824687;ECB
2021-01-12;HKD;HKD;0.1289416205;ECB
2021-01-12;HRK;HRK;0.1604247741;ECB
2021-01-12;HUF;HUF;0.003381249;ECB
2021-01-12;IDR;IDR;0.0000706964;ECB
2021-01-12;ILS;ILS;0.3163549335;ECB
2021-01-12;INR;INR;0.0136500115;ECB
2021-01-12;ISK;ISK;0.0077855314;ECB
2021-01-12;JPY;JPY;0.0095952343;ECB
